ditto mark,〃
subfamily,亜科
subarctic zone,亜寒帯
subgroup,亜群
subclass,亜綱
Argentina,亜爾然丁
subspecies,亜種
nitrous acid,亜硝酸
nitrite,亜硝酸塩
substratosphere,亜成層圏
sage of the second order,亜聖
subgenus,亜属
subtribe,亜族
brown coal,亜炭
subtropics,亜熱帯
the Americas,亜墨利加
United States of America,アメリカ合衆国
redwood,アメリカ杉
linseed,亜麻
flax yarn,亜麻糸
linen,亜麻織物
linseed,亜麻仁
flaxseed oil,あまに油
linen,亜麻製
linen,亜麻布
person belonging to the same school (e.g. of thought),亜流
sulphurous acid,亜硫酸
sulfite,亜硫酸塩
dumbbell,啞鈴
Arabia,亜拉毘亜
white arsenic (As2O3),亜ヒ酸
deaf-mute,啞
beautiful woman,娃鬟
to cater to,阿ねる
humorous mask of a homely woman's face,於多福
two of Buddhism's hells,阿鼻叫喚
opium den,アヘン窟
wearing a hat pushed back on one's head,阿彌陀
alpha and omega,阿呍
adulation,阿諛
adulation,阿諛追従
alas,憫れ
doleful,哀れっぽい
compassion,憐れみ
to admire,閔れむ
pensive,哀れ気
sad sounds,哀音
Lamentations (book of the Bible),哀歌
grief and pleasure,哀楽
pathos,哀感
happiness and sadness,哀歓
petition,哀願
wailing,哀号
tragic history,哀史
message of condolence,哀詞
elegy,哀詩
grief,哀愁
grief,哀傷
sadness,哀情
sorrow,哀惜
plaintive,哀切
complaint,哀訴
sympathetic condolences,哀弔
sad melody,哀調
being very sad,哀痛
lament,哀悼
sad parting,哀別
yearn for,哀慕
compassion,哀憐
sad story,哀話
lamentation,哀哭
Ireland,愛
pitiful,愛しい
dear child,いとし子
lovable,愛すべき
to love,愛する
joyous,愛でたし
to appreciate,賞でる
to starve for love,愛に飢える
children,愛の結晶
adorable,愛らしい
raising with loving care,愛育
being fond of (a drink),愛飲
cum,愛液
tobacco lover,愛煙家
loving,愛楽
treasuring,愛翫
love for one's hometown,愛郷
love of one's hometown,愛郷心
love of reciting or singing favourite poems or songs,愛吟
fun,愛きょう
fondness for dogs,愛犬
person who loves dogs,愛犬家
custom,愛顧
tender care,愛護
adoration,愛好
aficionado,愛好家
aficionado,愛好者
Ireland,愛国
patriot,愛国者
patriotism,愛国主義
patriotism,愛国心
beloved wife,愛妻
beloved child,愛児
covetous affection,愛執
(one's) wheels,愛車
favorite book (favourite),愛書
singing with great fondness,愛唱
(one's) favourite song,愛唱歌
favorite song,愛唱曲
favourite concubine (e.g. of the shogun),愛妾
nickname,愛称
affection,愛情
mistress,愛人
loathing to part,愛惜
agreeable,愛想のよい
ambivalence,愛憎併存
cherished,愛蔵
collector's edition,愛蔵版
cute boy,愛息
altruism,愛他主義
Aichi prefecture (Chūbu area),愛知県
pet bird,愛鳥
teacher's pet,愛弟子
reading with pleasure,愛読
admirer,愛読者
favorite book,愛読書
fondness for cats,愛猫
cat lover,愛猫家
favorite horse,愛馬
Ehime Prefecture (Shikoku),愛媛県
(sexual) petting,愛撫
adoration,愛慕
(one's) beloved daughter,まな娘
habitually used,愛用
reciting with great fondness,愛誦
mediator,挨拶
making the rounds,あいさつ回り
greeting card,挨拶状
(secret) date,逢瀬
face,逢着
Asarum caulescens (species of wild ginger),葵
Aoi Matsuri,葵祭り
madder (red color),茜
glowing dark red,茜さす
crimson,あかね色
the bad guy,惡
mischief,悪
unforgivable,惡るい
to bad-mouth,悪く言う
mean mischief,悪さ
evil,悪し
I'm sorry,不悪
rowdy (person or event),悪たれ
to use abusive language,悪たれる
evil speaking,悪たれ口
to be inclined to evil,悪に傾く
underworld,悪の巷
to lure a person to evil ways,悪の道へ誘う
malice,悪意
shabby clothes,悪衣
evil acts bring evil outcomes,悪因悪果
evil destiny,悪因縁
bad luck,悪運
negative influence,悪影響
epidemic,悪疫
unfortunate love,悪縁
corruption,悪化
bad results,悪果
bad money,悪貨
brat,悪がき
ague,悪寒
animosity,悪感
evil influence,悪感化
crook,悪漢
evil intent,悪気
devil,悪鬼
rape,惡戲
imp,悪戯子
rat,徒者
mischievous boy,悪戯小僧
mischievous age,いたずら盛り
play suit,悪戯着
pesky kids,いたずら坊主
treason,悪虐
atrocious,悪虐無道
bad pitch,悪球
to feel guilty,悪怯れる
baddie,悪玉
bad shape (shogi, othello),悪方
sly,悪がしこい
slander,悪言
cursing and swearing (words),悪口雑言
intrigue,悪だくみ
bad wife,悪妻
negative factor,悪材料
poor plan,悪策
calamity,悪事
virulent disease,悪疾
second-rate,悪質
worsening,悪質化
scoundrel,悪者
bad move (in chess, shogi, etc.),悪手
bad taste,悪趣味
cheap liquor,悪酒
vice,悪習
evil practices,悪習慣
stench,悪臭
vicious cycle,悪循環
brothel,悪所
harmful book,悪書
ugly woman,悪女
malignant or virulent disease,悪症
overdoing,悪ノリ
dangerous spot,悪場
unfavourable conditions,悪条件
malicious motive,悪心
urge to vomit,悪心
evil god,悪神
wicked person,悪人
unjust suspicion,悪推量
undrinkable water,悪水
becoming violent or disorderly when drunk,悪酔
lewdness,悪性
pernicious (anemia, anaemia),悪性
malignant lymphoma,悪性リンパしゅ
malignant tumour,悪性腫瘍
malignancy,悪性度
bad government,悪政
evil speaking,悪声
irrational tax,悪税
gossip,悪舌
close contest,悪戦
fighting against heavy odds,悪戦苦闘
bad coin,悪銭
ferocious warrior monk,悪僧
evil countenance,悪相
disorderly merrymaking,悪騒ぎ
vain struggle,悪足搔き
troublemaker,悪太郎
abusive language,悪態
to call someone names,悪態をつく
person who is skilled but lacks taste,悪達者
bad weather,悪天
bad weather,悪天候
evil angels,悪天使
villain,悪徒
villain,悪党
wild pitch,悪投
brat,悪童
evil course,悪道
corruption,悪徳
fever following a chill,悪熱
spite,悪念
mean old woman,悪婆
vilification,悪罵
poor handwriting,悪筆
unfavourable criticism,悪評
malignant disease,悪病
wicked woman,悪婦
raging winds,悪風
poor writing,悪文
leaning over backwards to be impartial,悪平等
evil,悪弊
evil way of doing things,悪法
Māra,悪魔
exorcism,悪魔払い
bad dream,悪夢
the villain's part,悪役
buddy,悪友
gambling,悪遊び
perversion,悪用
bad decree,悪令
bad precedent,悪例
bad road,悪路
post-natal vaginal discharge,悪露
mischievous trick,悪巫山戯
offensive joke,悪戯
sharp,悪らつ
to let (someone) take hold of your hand,握らす
method to determine player colors (go),握り
grasping fellow,握り屋
nigirizushi,握寿司
crushing,握り潰し
to grasp tightly,握りしめる
to mould,握る
cooperation,握手
hand-axe,握斧
grip strength,握力
marshland,渥地
rising sun flag,旭旗
rays of the rising sun,旭光
rising sun,旭日
in the ascendant,旭日昇天
rays of the rising sun,旭暉
common reed (Phragmites australis),芦
reed flute,笳
dapple-grey (gray) (horse coat colour),蘆毛
catalpa medium,梓
spirit bow,梓弓
to push,圧しあう
to push into,圧しこむ
to conceal (e.g. one's emotions),押殺す
stone weight,圧し石
to break,圧し折る
to push,圧す
to overwhelm,圧する
extending by applying pressure,圧延
rolling machine,圧延機
rolling mill,圧延工場
rolled steel,圧延鋼
sense of pressure,圧覚
superb,圧観
indentation,圧痕
crushing,あっ砕
crusher,圧砕機
compression,あっ搾
press,圧搾器
compressed air,圧搾空気
stifling,圧殺
crushing to death,あっ死
compression (of data),圧縮
compressed air,圧縮空気
compressibility,圧縮性
compression ratio,圧縮率
pressing out,圧出
landslide victory,圧勝
pressure sensation,圧神
despotism,圧制
tyrant,圧制者
despotic,圧制的
despotism,圧政
pressure welding,圧接
pressure bonding,圧着
crimped terminal,圧着端子
pressure point,圧痛点
piezoelectricity,圧電気
piezoelectric effect,圧電効果
to threaten,圧倒
overwhelming,圧倒的
overwhelming majority,圧倒的多数
indentation,圧入
displacement,圧排
suppression,圧迫
feeling of oppression,圧迫感
compression,圧迫性
arm-twisting,圧力
pressure gauge,圧力計
lobby,圧力団体
pressure regulator,圧力調整器
pressure cooker,圧力鍋
pressure wave,圧力波
acting as a go-between,あっ旋
agent's charge,斡旋料
treating like,扱い
to gossip,扱う
to abuse,扱下ろす
to masturbate,扱く
to apply to,充てがう
to address,宛てる
just like,宛ら
gadfly,蝱
yellowish-brown,飴
candy,あめ玉
flowery,絢爛
damask,絢緞子
twill damask and brocade,綾錦
heddle thread,綾糸
twill (fabric),あや織り
twill damask and brocade,綾布
at one time,或る時
a certain person,或る人
(on) a certain day,或日
Italian millet (also Hungarian, German),粟
to have gooseflesh (e.g. from cold or horror),泡立つ
lined kimono,袷
quiet,廉い
insignificant,安っぽい
restful,安らか
serenity,安らぎ
to be at ease,安んじる
quick (to do),安易
tranquillity,安穏
cheap (e.g. government),安価
quiet rest,安臥
ease,安楽
euthanasia,安楽死
carefree,安閑
welfare,安危
feeling at home,安気
easy life,安居
safe birth,安産
cheap kind,安手
cheap sake,安酒
cheap saloon,安酒場
being satisfied with one's lot,安住
cheap hotel,安宿
economical,安上り
peace of mind,安神
keeping an unperturbed mind through faith,安心立命
repose,安静
during rest,安静時
security,安全
safety margin,安全域
safe driving,安全運転
safety device,安全器
safe period,安全期
safety education,安全教育
security,安全性
safety measure,安全対策
safety first (principle),安全第一
traffic island,安全地帯
security guarantee (e.g. military security, network security, etc.),安全保障
US-Japan Security Treaty,安全保障条約
repose,安息
safe hit,安打
tranquillity,安泰
low price,安値
installation (of an image),安置
safe arrival,安着
simple,安直
stable,安定
stabilisation,安定化
electrical ballast (e.g. fluorescent light),安定器
equilibrium,安定性
stable isotope,安定同位体
living safely surrounded by walls,安堵
Azuchi-Momoyama period (approx. 1558-1600),安土桃山時代
tranquillity,安寧
law and order,安寧秩序
abekawa mochi,あべかわ餅
giving out freely,安売り
well-being,安否
cheap structure (e.g. of houses),安普請
poor quality article,安物
campaign against the Japan-US Security Treaty (1959-60, 1970),安保
quiet sleep,安眠
retreat,廬
retreat,庵室
nun in charge of a Buddhist convent,庵主
laying on of hands,按手
blind person,按摩
like,闇い
darkness,暗がり
obscurely,暗に
the dark,暗やみ
ominous indications,暗雲
dark brown,暗褐色
conduit,暗きょ
foolish ruler,暗君
cipher,暗号
password protection,暗号化
cryptography,暗号化手法
cryptanalysis,暗号解読
cryptographic technique,暗号手法
coincidence,暗合
dark age,暗黒期
dark age,暗黒時代
Dark Continent (i.e. Africa),暗黒大陸
assassination,暗殺
assassination,暗殺事件
mental arithmetic,暗算
suggestion,暗示
darkroom,暗室
reciting from memory,諳誦
unforeseen difficulty,暗礁
password,暗証
password,暗証化
password number,暗唱番号
dark color,暗色
dark red,暗赤色
dispirited,闇然
in the dark,暗中
exploring new avenues without having any clues,暗中摸索
rapid deterioration,暗転
wordless pantomime performed in the dark (in kabuki),暗闘
dark side (of nature, town, etc.),暗部
implicit,暗黙
operating behind the scenes,暗躍
undercurrent,暗流
silent tears,暗涙
to shed silent tears,暗涙に咽ぶ
metaphor,暗ゆ
stand,案
to take a sword in one's hand,按じる
sure enough,案の上
under the desk,案下
surprising,案外
(court) case,案件
dummy,鹿驚
invention,案出
knowledge,案内
clerk at the information desk,案内係
information desk,案内所
guide,案内書
