ditto,同断
Christian priest,鬼理死丹
Christ,耶蘇
Christianity,邪宗
Cyrillic,キリスト教徒
2^10,キリル文字
kilometer,瓩
mis-spelling,瓩
kilometre,瓩
kilometer (mis-spelling) (kilometre),瓩
guitar,キロ米
gambling,手慰み
Greece,希臘
Greek,ギリシア神話
mythology,ギリシア神話
Greek mythology,ギリシア神話
coupon,ギリシア文字
cool,素的
box,クーポン券
cool box,クーポン券
quintet,五人組
craftsman,科威都
cruise,船旅
kroon,久留子
Estonia,久留子
kroon (former currency of Estonia),久留子
cloning,クローン技術
technology,クローン技術
cloning technology,クローン技術
human,人らしい
clone,クローン人間
(human) clone,クローン人間
guava,クローン動物
Grammy,瓦無
award,賞
Grammy (award),瓦無
putting,瓦
green,瓦
putting green,瓦
boy,坊さん
boxing,拳闘
green boy (boxing),グリーンＰＣ
revolution,輪転
green revolution,臥児狼徳
car,四輪車
green (car) ticket,グリーン券
group,一つ穴
discussion,評議
group discussion,グリーン車
heading,題名
group heading,グループ見出し
Gregorian,グループ分離キャラクタ
calendar,グループ分離キャラクタ
Gregorian (calendar),グループ分離キャラクタ
casework,グレゴリオ暦
caisson,ケーソン工法
method,遣り口
caisson method,ケーソン工法
KFC,ケーソン病
kennel,ケント紙
guerrilla,ゲリラ戦
warfare,兵戈
guerrilla warfare,ゲリラ戦
germanium,ゲリラ兵
Ge,ゲリラ兵
germanium (Ge),ゲリラ兵
cordless,日耳曼
cordless phone,日耳曼
cornering,コードレス電話
coffee,珈琲
grinder,珈琲
coffee grinder,珈琲
sliced,珈琲豆
tongue,珈琲豆
Kansai,珈琲豆
dish containing sliced cold tongue (Kansai speciality),珈琲豆
cost-push,コール天
inflation,膨満
cost-push inflation,コール天
cotton,棉
buds,コスト効率
cotton buds,コスト効率
command,言渡し
command module,骨杯
turd,コマ割り
Colombia,哥倫比亜
conclave,コロンブスの卵
consumer-first, manufacturing
marketing,販売
consumer-first (marketing, manufacturing
consumer,消費者
products,産品
consumer products,コンシューマ向け製品
computer,計算器
utility,功利
computer utility,コンシューマ製品
CAM,コンピューター援用生産
computerisation,情報化
go-go,コンピューター用語
dance,踊り
go-go dance,コンピューター用語
goal,ＧＯサイン
goal line,ＧＯサイン
goblet,金盃
village,都邑
garbage,廃品
collection,林
point,突端
village garbage collection point,ゴミ集積場
condom,護謨
golf,護謨の木
course,いたし方
golf course,護謨の木
surveillance,ゴルフ場
cycle,サーボ機構
hit,サイクルアンドライド方式
cycle hit,サイクルアンドライド方式
psychological,心理学的
sign,萠芽
sign language,手話法
sliding,サイン曲線
window,牖
frame,図体
metal,金ぞく
sliding window frame (esp. metal),サイン曲線
sanitary,衛生上
napkin,口拭き
sanitary napkin,察
Sahara,撒哈拉
skipping,サハラ沙漠
skipping out,サハラ沙漠
sampling,味見
sunroom,サンプリング周波数
right,筋合い
that's right,実
shaddock,文橙
Zambia,躄蟹
"za",ザ行
column,縦隊
row,ザ行
kana,假名
syllabary,ザ行
"za" column or row of the kana syllabary,ザ行
Shia,シーア派
Shia (Islam),シーア派
CIA,ＣＩＡ
sea,シーアンドエア方式
air,シーアンドエア方式
system,次序
sea and air system,シーアンドエア方式
seesaw,ＣＭ
policy,方策
seesaw policy,ＣＭ
bed,臥し所
sheet,シーソー遊び
bed sheet,シーソー遊び
CTS,ＣＴＳ
CTC,ＣＴＣ
negotiable,ＣＤ
certificate,免許
deposit,堆積物
(negotiable) certificate of deposit,ＣＤ
ceiling,ＣＤＲＯＭ
lamp,灯
ceiling lamp,ＣＤＲＯＭ
shield,シーリング方式
theatre,戦域
cyan,舎路
cyanide,シアン化合物
sherry,シアン化物
sigma,ς
menu,システム５
system menu,システム５
thesaurus,類義語辞典
Ship,シゾイド人間
Ship American policy,シゾイド人間
citron,シップエア方式
Citrus,シップエア方式
medica,シップエア方式
citron (Citrus medica),シップエア方式
gears,雪特尼
changing gears,変速
shift,シフトＪＩＳ
dress,風体
shift dress,シフトＪＩＳ
arithmetic,算術
unit,位付け
shift arithmetic unit,シフト演算機構
soap,石鹼
bubble,しゃぼん玉
soap bubble,しゃぼん玉
chandelier,暹羅
sugar,糖
coat,三鞭酒
sugar coat,三鞭酒
series,続物
character,禀性
printer,印刷者
character printer,叙利亜
serial,直列
communication,対話
serial communication,シリアル通信
singer-songwriter,シリアル伝送
symmetric,星嘉坡
G.I.,ＧＩ
genius,儁
jet,Ｇパン
lag,Ｇパン
jet lag,時差惚け
gigolo,ジェット機
jacket,上表紙
record jacket,ＪＩＳ
jazzercise,ジャケ写
Japonaiserie,ＪＡＳ
junior,目下
weight,量目
junior light (weight),牙買加
duralumin,寿府
jin,ジュラ紀
sweep,ジンギス汗
sway,瑞西
Swedish,瑞典
relay,逓伝
track-and-field,瑞典
Swedish relay (track-and-field event),瑞典
squash,南瓜
sport,スウェーデン語
squash (sport),スウェーデン語
skis,スカッシング関数
chairlift,スキーの板
ski,スキー場
area,庭
ski area,スキー場
scanties,スキー用品
scrap,欠けら
skeleton,白骨
code,スクラップ＆ビルド
skeleton (code),スクラップ＆ビルド
Scotch,助番
terrier,助番
Scotch terrier,助番
steak,蘇格蘭
stepfamily,ステーキ屋
step,足並
step response,ステップ応答
stockbroker,株屋
Stockholm,士篤恒
Sweden,士篤恒
Stockholm (Sweden),士篤恒
spiral,渦状
speed,速力
limit,制限
speed limit,制限速度
handbrake,スピード線
handbrake turn,スピード線
sprinkler,獅子女
rib,スプリンクラー設備
spare rib,スプリンクラー設備
sportswriter,スペイン語
rubber,消ゴム
sponge rubber,スポーツ新聞
slim,スポ魂
swap,スリム化
meet,スリム化
swap meet,スリム化
save,除いて
chamois,セーム革
leather,革
chamois leather,セーム革
salesman,セーラー服
cel,セールス戦略
celluloid,セールス戦略
cel (celluloid),セールス戦略
sentimental,感情的
Xerox,仙
zero-order,ゼロ次
SO-NET,ゼロ地点
tile,牌
equal,比倫
current,現下
equal to the current record (in sports, etc.)
taxi,泰国
surgical,タクシー乗場
pad,タクシー乗場
surgical pad,タクシー乗場
dark,幽幽
diagram,図説
download,ダイヤの指輪
dubbing,ダウ平均株価
dumb,黙黙
damage,毀傷
points,だめ押し
scored,だめ押し
measure,一節
points scored for good measure,だめ押し
ballroom,達頼喇嘛
da,断トツ
Vinci,断トツ
da Vinci,断トツ
tip,末
ballpoint,ちくちく痛む
pen,ちくちく痛む
tip (of a ballpoint pen),ちくちく痛む
down,羽毛
pencil,鉛筆
worn down (pencil, etc.)
champion,王者
tuning,同調
chop,判子
stroke,一撃
chop stroke,突尼斯
video,冲和
display,展示
flickering (e.g. on a video display),冲和
tape,智利
recorder,撮影者
tape recorder,智利
textbook,ＴＢ
STX,テキスト開始
taff,テキスト終結
TV,第希蘭
broadcast,第希蘭
TV broadcast,第希蘭
terebinthina,ＴＶゲーム
television,テレビ局
television station,テレビ局
skyping,テレビ電話
tower,台
TV tower,テレビ塔
report,風評
television report,テレビ報道
terrorism,テレビ放送
terrorist,テロ攻撃
attack,切込み
terrorist attack,テロ攻撃
organisation,組立
terrorist organisation,テロ組織
data,与件
check,勘定書
data check,テロ対策
bank,築堤
data bank,データの先頭
datalink,データビット長
analysis,分析
data analysis,データ解析
data exchange,データ交換
handling,データ処理
data handling,データ処理
default,不払い
setting,後景
default (setting),データ通信
derringer,デフォールト値
pistol,御弾き
derringer (pistol),デフォールト値
Denver,δ
rugby,丁抹
try (rugby),丁抹
Western,トライ＆エラー
playing,トライ＆エラー
cards,トライ＆エラー
(Western) playing cards,トライ＆エラー
torque,トランプ狂
converter,変換機
torque converter,トランプ狂
turquoise,土耳其
troy,トルコ風呂
trophy,賞品
tunnel,洞門
diode,二極真空管
tunnel diode,ＴＲＯＮ
treble,ト音記号
clef,音部記号
treble clef,ト音記号
G,ト短調
G minor,ト短調
deutsche,ト長調
deutsche mark,ト長調
German,独乙語
German (language),独語
German person,ドイツ人
East,ドイツ民主共和国
Germany,独乙
East Germany,ドイツ民主共和国
thud,ドイツ連邦共和国
drum,太鼓
machine,ＤＯＳ
drum machine,ＤＯＳ
drink,飲料
usance,弗
dollar usance,弗
$,ドル記号
dollar sign ($),ドル記号
knife,ドル札
ridge,螺子山
knife ridge,ドル札
nugget, chicken
gold, chicken
nugget (e.g. gold, chicken
backpack,ＮＡＳＡ
naphtha,ＮＡＴＯ
narrow-band,ＮＡＦＴＡ
niobium,南京
Nb,南京
niobium (Nb),南京
new,生新
city,市立
new city,尼加拉瓦
newsletter,時報
newsreel,ニュース映画
Yorker,ニュース媒体
New Yorker,ニュース媒体
smile,ほほ笑み
satisfaction,留飲
with a smile of satisfaction,新約克
D,可
D minor,ニ短調
null,ニ長調
northwestern,双節棍
nobelium,ノースウェスト准州
No,ノースウェスト准州
nobelium (No),ノースウェスト准州
Nobel,ノーベル賞
Prize,ノーベル賞
Nobel Prize,ノーベル賞
pay,俸給
no work no pay,ノーベル平和賞
noiseless,無声
Noraism,ノイマン形
Beta,諾威
Centauri,諾威
Beta Centauri,諾威
happy coat,ハチ公
honeymoon,新婚旅行
halon,河内
hunger,空きっ腹
strike,労働争議
hunger strike,匈牙利
hammock,ハンセン病
C,ハ音記号
C clef,ハ音記号
"ha", hi
table,几
ha, hi
the "ha" column of the Japanese syllabary table (ha, hi
C minor,ハ短調
biology,生物学
bug,盗聴
(computer) bug,バイオ素子
bathrobe,巴格達
bus,バス停
stop,停車
bus stop,バス停
banana,バス発着場
vanilla,バナナの皮
baptist,撥条
banquet,享宴
rosé,盤谷
wine,盤谷
rosé wine,盤谷
personal,独自
cheque,バ行
personal cheque,バ行
part,部局
employees,パーソナル化
part time (esp. female part time employees),パーソナル化
pipe-line,パートタイム従業員
pipe,パイプ爆弾
bomb,パイプ爆弾
pipe bomb,パイプ爆弾
pound,パイプ役
pound cake,パイプ役
personal (computer),巴基斯担
pattern,様式
matching,パソコン通信
pattern matching,パソコン通信
patio,パチンコ台
panavision,破天連
parallel,緯線
parallel communication,パラレル通信
parity,比価
court,ご殿
shoe,パリティ変換
court shoe,パリティ変換
pastry,パン屋
shop,販売店
pastry shop,パン屋
breadcrumbs,パン屑
bread,パン粉
flour,麪
bread flour,パン粉
hierarchy,序列
beam,光束
rider,ヒグス機構
beam rider,ヒグス機構
beer,麦酒
beer coupon,ビール券
business,用務
school,学びの庭
business school,ビール瓶
vitamin,ビジネススクール入学共通試験
bitmap,ビタミン剤
bit-wise,ビット毎
villa,寮
binding,綴
kickback,擦り
intuitively,ぴんと来る
to know intuitively,ぴんと来る
point (of a discussion, e.g. on-point
filename,ピントが外れる
fuzzy,あい昧
logic,ファイル分離キャラクタ
fuzzy logic,ファイル分離キャラクタ
fuck,ファジィ理論
model,典型的
fashion model,ＦＡＸ
filibuster,ファッション雑誌
fingering,比律賓
fortune,資財
adaptability,弾力性
breadstick,弗素
fringe,フランス語
full time,フリント硝子
wooden,フルタイム従業員
flooring,フルタイム従業員
wooden flooring,フルタイム従業員
Boolean,フロー制御
V-turn,ブーリアン関数
VTOL,ＶＴＯＬ
butane,Ｖネック
brassiere,ブラウン管
Blue,伯剌西爾
Ribbon,伯剌西爾
Blue Ribbon (Prize),伯剌西爾
breakdancing,勃牙利
blockbuster,ブレーク信号
bond,轄
positive,実証的
test,試験
positive (test result),風太郎
plastic,可塑
plastic model,＋α
printing,刷
(computer) printing,プリンター設定
PD,プリント基盤
processed,プログラム言語
cheese,乾酪
processed cheese,プログラム言語
propeller,推進器
header, email
document,書札
header (on a document, email
hen,牝鳥
